序号,中标公告唯一标识,标段名称,标段编号,中标公告发布时间,中标单位,中标单位代码,中标价,项目负责人,工期,质量承诺,项目名称,中标时间,标段所在行政区域代码,费率或其它类型结果,交易平台名称,投诉情况,回复情况,行政监督机构名称,专家姓名,交易平台标识码,,
343,8860007,文创港核心区启动地块（二期）施工二标段,A3302050250000126001002,04:38.0,宁波建工建乐工程有限公司,9.13302E+17,320667688,-,0,按国家施工验收规范一次性验收合格,文创港核心区启动地块（二期）施工,04:47.0,330205,,宁波市江北区公共资源交易中心,,,江北区公管办,,A3302050250,,
344,1.67145E+15,武义县古城保护利用开发项目-古城市政基础设施配套建设工程（一期）配套用房,A3307230810000288001001,00:00.0,浙江龙厦建设集团有限公司,91330781147402004N,7698258,吴向前,168,合格,武义县古城保护利用开发项目-古城市政基础设施配套建设工程（一期）配套用房,19:29.0,330723,,武义县公共资源交易平台,,,金华市公共资源交易中心武义县分中心,,A3307230810,,
346,8289ab40-99cc-42c9-9169-4f2010db81dc,2020年县道路面改造工程（迳芦线）,A3306820700003056001001,45:07.0,湖州天辰建设工程有限公司,9.13305E+17,17726200,李敏,0,合格,2020年县道路面改造工程（迳芦线）,44:52.0,330682,,绍兴市上虞区公共资源交易中心,,,绍兴市上虞区便民服务中心(招标投标监督办公室),,A3306040760,,
347,7b1d765c-4289-4c25-918e-33aa11247d31,龙泉市江滨南岸南秦安置房建设项目监理00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A3311011160004102001001,33:47.0,浙江建航工程咨询有限公司,91331102148868666F,3144000,无,880,2,龙泉市江滨南岸南秦安置房建设项目监理,33:37.0,331181,,龙泉市公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311811270,,
348,2449edae-5667-4a0b-831f-503010dec140,安吉县山川中心幼儿园船村教学点建设工程,A3305230700001410001001,01:18.0,浙江麒丞建设有限公司,9.13305E+17,1068805,杨玉瑚,0,合格,安吉县山川中心幼儿园船村教学点建设工程,01:18.0,330536,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700,,
349,1.62E+15,余姚市围涂横塘区块区间供水配套工程,E3302810067001964001001,00:00.0,余姚市顺泰建设有限公司,91330281599484477L,2004932,柳狄辉,60,符合现行国家质量验收评定标准,余姚市围涂横塘区块区间供水配套工程,52:30.0,330281,,余姚市公共资源交易平台,,,余姚市公共资源交易管理办公室,,,,
350,1.64973E+15,玉环市科创园基础设施建设项目（二期）设计,A3310211100000481001001,00:00.0,浙江省建筑设计研究院,9133000047003271X8,3678600,倪昭,55,合格,玉环市科创园基础设施建设项目（二期）,10:38.0,331021,,玉环市公共资源交易平台,,,玉环市住房和城乡建设局,,A3310211100,,
351,1.64446E+15,北欧（中国）鲑鱼RAS陆基养殖项目（一期）—空调工程,A3302250290000946001001,00:00.0,象山中信中央空调有限公司,9.13302E+17,1710000,王斌艺,30,合格、达到要求,北欧（中国）鲑鱼RAS陆基养殖项目（一期）—空调工程,07:00.0,330225,,象山县公共资源交易平台,,,1.49033E+15,,A3302250290,,
352,17470,永嘉县上塘振兴路（环城北路至县前西路）道路工程,A3303010410001783783654,46:48.0,浙江政通建设工程有限公司,9133000060910159X9,22711712.5,曹体杰,240,合格,永嘉县上塘振兴路（环城北路至县前西路）道路工程,46:55.0,330324,,永嘉县公共资源交易中心,,,温州市住房和城乡建设委员会,,A3303240460,,
353,D33100120220614151356942,台州市域铁路S1线一期工程-开发大道站路面恢复工程,A3310011060002383001001,01:28.0,浙江宝龙建设有限公司,9.13311E+17,6763446,王佳,100,合格,台州市域铁路S1线一期工程,10:23.0,331001,,台州市公共资源交易中心,,,台州市发展和改革委员会,,A3310011060,,
354,266effbf-238d-4ce4-a32f-a720ecb6289c0000000000000000000000000000,苍南县168黄金海岸线工程金乡连接线工程爆破安全监理第BPJL01标段,A3303270480001075001001,06:44.0,浙江京安爆破工程有限公司,91330000730891757X,760000,唐振锋,840,1,苍南县168黄金海岸线工程金乡连接线工程爆破安全监理,06:04.0,330327,,苍南县公共资源交易中心,,,苍南县交通运输局;,,A3303270480,,
355,600004254JSA22099,慈溪市新城河综合改造二期区块配套道路工程监理第一标段,A3302820390000706002001,45:29.0,宁波交通工程咨询监理有限公司,9.13302E+17,1839908,王季首,510,合格,慈溪市新城河综合改造二期区块配套道路工程,27:17.0,330282,,慈溪市公共资源交易管理办公室,,,慈溪市公共资源交易管理办公室,,A3302820390,,
356,1.61544E+15,竹山江桥-新西门桥段绿道建设工程（环线北段）,E3302810067001919001001,00:00.0,杭州汇达绿地有限公司,91330109741008560M,10443907,毛海清,90,符合现行国家质量验收评定标准,竹山江桥-新西门桥段绿道建设工程（环线北段）,15:00.0,330281,,余姚市公共资源交易平台,,,1.46097E+15,,A3302810380,,
357,9e92ddd7-482d-4bba-ad63-fb26612d900b,浙创路（紫金港路-紫荆花路）道路工程,A3301060110000411001001,00:00.0,杭州宝联建筑工程有限公司,9.13301E+17,13964071,胡大旦,0,无,浙创路（紫金港路-紫荆花路）道路工程,54:04.0,330106,,杭州市公共资源交易中心西湖分中心,,,杭州市西湖区住房和城乡建设局,,A3301060110,,
358,2.02103E+16,,A3310241130000710002001,04:21.0,浙江省工程物探勘察设计院有限公司,91330000142927098F,1092000,,0,,,04:21.0,331000,0,仙居县公共资源交易中心,,,,,A3310241130,,
359,8900869,宁波市奉化区滕头未来社区项目勘察设计招标,A3302830400000172001001,10:00.0,"上海经纬建筑规划设计研究院股份有限公司,信息产业部电子综合勘察研究院",91310110734078317N,5930616,-,0,-,宁波市奉化区滕头未来社区项目勘察设计,00:00.0,330283,,奉化区共资源交易中心,,,奉化区住房与城乡建设局,,A3302830400,,
360,D33100120200427185508904,台州市椒江区葭沚街道东方综合楼建设项目（EPC工程总承包）,E3310011234000680001001,16:01.0,国强建设集团有限公司,91331002704669976H,57816195,徐连军,520,符合要求,台州市椒江区葭沚街道东方综合楼建设项目（EPC工程总承包）,52:36.0,331001,,台州市公共资源交易中心,,,台州市建设工程招标投标管理办公室,,A3310011060,,
362,64766d3f-4b12-407c-be97-7e72dbfd73d7,望海新区工业园污水管道改造工程,A3304240590002243001001,13:27.0,嘉兴骏腾工程建设有限公司,91330424MA2CWQ146J,1696903,牛贺明,0,/,望海新区工业园污水管道改造工程,13:27.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590,,
363,49581,中山北路（江滨北街至北四路）改造工程施工监理,A3307830890000135001001,07:47.0,三方建设集团有限公司,91330103670648463M,607521,王学庆,180,合格,中山北路（江滨北街至北四路）改造工程施工监理,00:00.0,330783,,东阳市公共资源交易中心,,,东阳市住房和城乡建设局,,A3307830890,,
364,2.02E+16,,A3310821150002170001001,06:37.0,浙江北建建设有限公司,91331082MA29WCLY8Q,1019971,,0,,,06:37.0,331000,0,临海市公共资源交易中心,,,,,,,
365,23da77ad-bb56-4abb-903c-b398b155db59,全域整治古城安置区三期西侧扩建区块临时用电工程,A3305230700001099001001,55:16.0,湖州正辉电力建设有限公司,91330523MA2D4P2A7R,445336,周忠敏,0,合格,全域整治古城安置区三期西侧扩建区块临时用电工程,55:16.0,330524,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700,,
366,49963679-fb42-4b88-9fbe-e655b50ade990000000000000000000000000000,龙港市巴曹第二社区龙魁线两侧改造提升工程,A3303831280000615001001,35:45.0,文成县杰煊市政建设有限公司,91330328MA2949KJ84,13359261,袁春和,60,1,龙港市巴曹第二社区龙魁线两侧改造提升工程,35:33.0,330399,,龙港市公共资源交易中心,,,龙港市自然资源与规划建设局,,A3303831280,,
367,1.59651E+15,（重发）明楼街道社区卫生服务中心迁建工程电梯设备采购及安装项目,A3302120280001457001001,00:02.0,宁波华迅电梯工程有限公司,9.13302E+17,892500,朱心怡,0,符合国家、浙江省、宁波市验收规范（从高）一次性验收合格标准并通过宁波市特种设备检验研究院一次性验收合格,（重发）明楼街道社区卫生服务中心迁建工程电梯设备采购及安装项目,43:25.0,330212,,鄞州区公共资源交易平台,,,宁波市鄞州区公共资源监督管理中心,,A3302120280,,
369,3520b5de-d3b9-46e4-a655-9b27b574bf8c0000000000000000000000000000,长兴县2022年普通省道路基路面养护工程,A3305010650000902001001,34:03.0,长兴县公路工程有限责任公司,91330522729096406F,5264100,杨金法,0,无,长兴县2022年普通省道路基路面养护工程,34:03.0,330501,1,湖州市公共资源交易中心,,,湖州市公共资源交易管理办公室,,A3305010650,,
370,8862261,庵东镇路湾村中心横江疏浚整治工程,A3302321320000173001001,22:00.0,宁波金青建设有限责任公司,91330211340597624C,100249,施主任,0,合格,庵东镇路湾村中心横江疏浚整治工程,00:00.0,330232,,杭州湾公共资源交易中心,,,杭州湾新区公共资源交管办,,A3302321320,,
371,798ce1df-f1fc-4834-8217-4e1722ad2157,2022年度海盐县西塘桥街道东海社区和新港社区千亩方永久基本农田集中连片整治项目,A3304240590003059001001,23:51.0,嘉兴市秀洲区水利工程公司,91330411146568854K,1821956,王夏贇,0,/,2022年度海盐县西塘桥街道东海社区和新港社区千亩方永久基本农田集中连片整治项目,23:51.0,330424,,海盐县公共服务平台,,,海盐县小型工程,,A3304240590,,
372,1.60932E+15,鄞州区JD07-02-01（明楼地段）地块项目室内装修工程（施工）,A3302120280991533001001,00:00.0,宁波市华立建筑安装有限公司,91330205144243749L,4195843,何卫彪,90,符合国家、浙江省、宁波市验收规范（从高）一次性验收合格标准,鄞州区JD07-02-01（明楼地段）地块项目室内装修工程（施工）,56:49.0,330212,,鄞州区公共资源交易平台,,,宁波市鄞州区公共资源监督管理中心,,A3302120280,,
373,19740,永嘉县上塘城西小学校区新建项目室外附属工程,A3303010410002250250001,15:12.0,温州华美园林建设有限公司,91330304720008086M,10030604,王靖华,90,合格,永嘉县上塘城西小学校区新建项目室外附属工程,15:10.0,330324,,永嘉县公共资源交易中心,,,温州市住房和城乡建设局,,A3303240460,,
374,ea7a6d79-ffee-495a-b431-4a2f16b5839f,龙泉市八都溪流域八都镇下游段综合治理工程,A3311011160012050001001,00:36.0,浙江汇力建设有限公司,91331100148860672D,37906753,吴元炳,0,合格,龙泉市八都溪流域八都镇下游段综合治理工程,00:36.0,331181,,龙泉市泉公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311811270,,
375,a522ccdc-c739-44b5-9a8e-29fe7f7fbc7d,遂昌县东城新区未来社区市政配套项目-东城新区核心区块开发（暂定）工程设计,A3311011160012126001001,25:58.0,中国联合工程有限公司,9.133E+17,4375800,奚健,0,达到国家相关行业设计规范合格标准,遂昌县东城新区未来社区市政配套项目-东城新区核心区块开发（暂定）工程设计,25:58.0,331123,,遂昌县公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311231200,,
376,46684,东阳江镇尚学传麒宿舍楼改造项目,A3307830890002730730893,19:54.0,金华德基市政工程有限公司,91330703MA29LP0F47,2776745,胡丽娟,60,合格,东阳江镇尚学传麒宿舍楼改造项目,00:00.0,330783,,东阳市公共资源交易中心,,,东阳市住房和城乡建设局,,A3307830890,,
377,D33100320220607084532219,黄岩区高桥街道SN27号路东侧、爱迪路南侧地块（璀星佳苑南侧地块）（方案、初步设计及施工图设计）,A3310011060002357001001,00:16.0,天尚设计集团有限公司,9.13301E+17,1628740,尹维民,50,符合国家、省及台州市有关规定,黄岩区高桥街道SN27号路东侧、爱迪路南侧地块（璀星佳苑南侧地块）（方案、初步设计及施工图设计）,50:50.0,331001,,台州市公共资源交易中心,,,台州市黄岩区建设工程招投标管理办公室,,A3310011060,,
378,1.64031E+15,象山县定塘镇长塘河水系综合治理工程（河道工程）,A3302250290000909001001,00:00.0,宁波景鼎建设工程有限公司,91513221MA691TYN5R,8753771,陈文莺,360,合格,象山县定塘镇长塘河水系综合治理工程（河道工程）,27:06.0,330225,,象山县公共资源交易平台,,,象山县公共资源交管办,,A3302250290,,
379,D33100120210923164722497,椒江南部市场群区块基础设施提升工程(路泽太高架二期）（建设实施期代建）,A3310011060001856001001,32:39.0,浙江江南工程管理股份有限公司,9133000072008517XG,6618800,程远军,0,符合招标文件要求,椒江南部市场群区块基础设施提升工程(路泽太高架二期）（建设实施期代建）,19:12.0,331001,,台州市公共资源交易中心,,,台州市建设工程招标投标管理办公室,,A3310011060,,
380,c7fe48b1-676b-4711-9070-038495d86a010000000000000000000000000000,湖州远帆酒店管理有限公司南太湖新区滨湖北单元TH-01-03-02E地块酒店建设项目,A3305010650000256001001,25:06.0,中国建筑第八工程局有限公司,9131000063126503X1,416898311,李景阳,0,无,湖州远帆酒店管理有限公司南太湖新区滨湖北单元TH-01-03-02E地块酒店建设项目,24:51.0,330507,1,湖州经济技术开发区公共资源交易中心,,,湖州市公共资源交易中心,,A3305300710,,
381,9a03a9f6-7d94-4912-b3d7-d26d63630581,绍兴市上虞区百官重华小学综合楼新建工程,A3306820700003459001001,07:00.0,浙江海鼎建设有限公司,91330701MA2DBMDN3E,17536615,王钧耀,0,合格,绍兴市上虞区百官重华小学综合楼新建工程,06:44.0,330682,,绍兴市上虞区公共资源交易中心,,,绍兴市上虞区便民服务中心(招标投标监督办公室),,A3306040760,,
383,1.62867E+15,小曹娥镇卫生院迁建工程,E3302810067002164001001,00:00.0,宁波市鄞州建筑有限公司,91330212704863226U,35959997,王娟,450,达到现行国家质量检验与评定标准,小曹娥镇卫生院迁建工程,44:09.0,330281,,余姚市公共资源交易平台,,,1.46097E+15,,A3302810380,,
384,2.02101E+16,,A3310821150002093001001,04:00.0,重庆六零七工程勘察设计有限公司,9150011320280287XR,2920588,,0,,,04:00.0,331000,0,临海市公共资源交易中心,,,,,A3310821150,,
385,40cf0e06-4918-4314-b271-9773fd71e9d8,绍兴市上虞区小越街道越中建发家园雨污分流改造工程,A3306820700001852001001,00:00.0,浙江益城建设有限公司,91330604MA2BGK168J,3404224,董利江,0,合格,绍兴市上虞区小越街道越中建发家园雨污分流改造工程,19:58.0,330682,,绍兴市上虞区公共资源交易中心,,,绍兴市上虞区便民服务中心(招标投标监督办公室),,,,
386,217853d8-adeb-4102-ad51-812701e2f7b30000000000000000000000000000,菱湖镇工业功能区配套提升项目-职工宿舍设计项目,A3305010650000465001001,07:17.0,浙江天和建筑设计有限公司,9.13305E+17,1990000,陆伟东,0,无,菱湖镇工业功能区配套提升项目-职工宿舍设计项目,06:11.0,330503,1,湖州市南浔区公共资源交易中心,,,湖州市南浔区公共资源交易管理办公室,,A3305030670,,
387,30593,苏庄镇农村生活污水治理设施新建项目-横中、余村、苏庄、溪西(管网、检查井、化粪池、清扫井)工程三次,2.02106E+22,08:47.0,浙江庞氏塑业有限公司,91331023329922385N,1803475,李超,60,一次性验收合格,苏庄镇农村生活污水治理设施新建项目-横中、余村、苏庄、溪西(管网、检查井、化粪池、清扫井)工程三次,08:14.0,330824,,开化县公共资源市场化配置监督管理办公室,,,开化县监管办,,A3308240950,,
388,40772,龙湾区乡村振兴共同富裕项目（二期）-机场大道迎亚运改造提升工程,A3303030430000202001001,56:00.0,温州市凯达交通工程有限公司,9.13303E+17,15160052,吴宝兄,90,合格（其中前潘桥技术状况评定由原三类修复为二类）,龙湾区乡村振兴共同富裕项目（二期）-机场大道迎亚运改造提升工程,50:12.0,330303,,温州市行政审批与公共资源交易服务管理中心龙湾分中心,,,温州市龙湾区交通运输局,,A3303030430,,
389,4d0938e6-a771-4792-aa21-8665848bcb89,景芳三堡单元JG1206-06 地块小学工程,A3301010060300154001001,00:00.0,浙江省建工集团有限责任公司,9.133E+17,166564583,吴赟杰,0,无,景芳三堡单元JG1206-06 地块小学工程,08:47.0,330101,,杭州市公共资源交易中心,,,杭州市建设工程招标投标管理办公室,,A3301010060,,
390,D33100120210910090053681,台州湾文旅综合体项目（会议中心装修）,A3310011060001785001001,55:59.0,中孚泰文化建筑股份有限公司,9.14403E+17,44199199,程平,105,合格,台州湾文旅综合体项目,26:07.0,331001,/,台州市公共资源交易中心,,,台州市发展和改革委员会,,A3310011060,,
391,d204dff1-8b00-43db-abe1-f83e4aa6cb03,蒲东拆迁安置小区项目工程监理,A2020007400100100000000,20:06.0,浙江万事达建设工程管理有限公司,91330900148696614P,4520000,周磊,0,合格,蒲东拆迁安置小区项目工程监理,20:00.0,330901,,舟山市招投标中心,,,舟山市招投标中心,,A3309011000,,
392,7ee54778-582d-4064-be31-ec50bdaf4bf0,临政储出【2019】19号地块设计项目,A3301850210000085001001,00:00.0,广州莫伯治建筑师事务所有限公司,9.14401E+17,3100000,无,0,无,临政储出【2019】19号地块设计项目,01:03.0,330185,,临安市公共资源招投标交易中心,,,杭州市临安区住房和城乡建设局,,A3301850210,,
393,29322,永康经济开发区金山东路企业孵化园建设项目监理,A3307840900000253001001,31:00.0,浙江求是工程咨询监理有限公司,91330106727595797C,2507800,宋博文,0,不低于国家相关验收合格标准,永康经济开发区金山东路企业孵化园建设项目监理,00:00.0,330702,,永康市公共资源交易中心,,,永康市住房与城乡建设局,,A3307840900,,
394,28221,东阳市卢宅旅游服务中心 B楼扩建工程,A3307830890001867867645,14:02.0,浙江宏信建设有限公司,9133078379962389XE,2290199,胡武良,75,合格,东阳市卢宅旅游服务中心B楼扩建工程,00:00.0,330783,,东阳市公共资源交易中心,,,东阳市住房和城乡建设局,,A3307830890,,
395,48185,东阳市2021年普通国省道养护大中修工程施工第一合同段,A3307830890002849849104,01:53.0,浙江正方交通建设有限公司,91330702726601040Q,9967155,郭飞德,150,满足招标文件要求,东阳市2021年普通国省道养护大中修工程施工,30:00.0,330783,,东阳市公共资源交易中心,,,东阳市交通局,,A3307830890,,
396,D33100120210112102518015,台州中央创新区人才社区（东地块）工程（电梯）,E3310011234001162001001,55:03.0,浙江凯樾机电有限公司,91330109MA2B05BT1P,7600000,/,210,合格,台州中央创新区人才社区（东地块）工程,04:19.0,331001,,台州市公共资源交易中心,,,台州市建设工程招标投标管理办公室,,A3310011060,,
397,0bd39d10-a699-4d10-8062-8da4db07b40b,庆元县政府投资项目预结算复审服务项目00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A3311011160006130002001,32:37.0,浙江建航工程咨询有限公司,91331102148868666F,0,,0,1,庆元县政府投资项目预结算复审服务项目,32:37.0,331126,,庆元县公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311261230,,
398,2.02012E+16,,A3310821150002079001001,02:55.0,青田荣斌建筑工程有限公司,91331121MA2A1RKF90,2164663,,0,,,02:55.0,331000,0,临海市公共资源交易中心,,,,,A3310821150,,
399,69c26635-4b42-4b81-8970-7c7ef5d8ffc3,六横台台线中央岙至小湖段养护提升工程,A3309031020000357001001,58:15.0,舟山市普陀华通公路养护工程有限公司,9133090374630377X1,8462467,王泽旭,0,合格,六横台台线中央岙至小湖段养护提升工程,58:15.0,330903,,舟山市公共资源交易中心普陀区分中心,,,浙江舟山群岛新区六横管理委员会规划建设与交通局,,A3309031020,,
400,4801c667-bf7d-4481-9ce9-49c0079be99a,衢州市柯城区航埠镇集镇东片区道路及基础配套设施建设项目—起航路道路工程,A3308020002270010010000,48:46.0,浙江联润建设工程有限公司,91330800732005886U,6232728,华峰,0,无,衢州市柯城区航埠镇集镇东片区道路及基础配套设施建设项目—起航路道路工程,48:46.0,330802,,柯城区公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308020920,,
401,1dbaa400-3e6c-4e90-bd4a-829a0f6c67b9,安吉县“两山”示范区幸福河湖余村试点工程之浒溪、马吉溪,A3305230700001820001001,46:11.0,杭州萧宏建设环境集团有限公司,91330108253934178H,23427158,吴华欢,0,合格,安吉县“两山”示范区幸福河湖余村试点工程之浒溪、马吉溪,46:11.0,330523,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700,,
402,D33100120200417152810519,台州技师学院一期工程(施工总承包）,E3310011234000611002001,08:53.0,方远建设集团股份有限公司,9133000014823804XD,460480189,陈日鑫,750,合格,台州技师学院一期工程,19:49.0,331001,,台州市公共资源交易中心,,,台州市发展和改革委员会,,A3310011060,,
403,dfceeb43-7672-4bfd-b640-2da300fb6570,浙江兴汇实业有限公司茶源里（暂命名）项目设计采购施工总承包（EPC),A3304010550001445001001,07:09.0,宏正工程设计集团股份有限公司,9.13304E+17,76671547,马文涛,0,/,浙江兴汇实业有限公司茶源里（暂命名）项目设计采购施工总承包（EPC),07:09.0,330403,,嘉兴市公共服务平台,,,新点电子招投标监督平台,,A3304010550,,
404,592514d5-e5a7-4e0d-b222-33d0edc2acdb0000000000000000000000000000,安全监测（重）,E3300000007000328010001,00:00.0,上海勘测设计研究院有限公司,91310109425010781E,5952970,曹国福,1278,无,浙江省好溪水利枢纽工程流岸水库,03:28.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020,,
405,cb1fd75d-d54c-4a3d-8174-9421504bab9f,瑞安市马屿镇马上后河综合整治工程,A3303810530000784_01000,44:39.0,台州市环丰水利工程有限公司,9.1331E+17,4785606,王建平,365,合格,瑞安市马屿镇马上后河综合整治工程,44:39.0,330381,,瑞安市公共资源交易中心,,,瑞安市公共资源交易中心,,A3303810530,,
406,1.60074E+15,龙游县横山镇天池等八村建设用地复垦项目,A3308250980001314001001,00:00.0,衢州鼎振建设有限公司,91330800MA29UAFPX4,288052,王慧,15,合格,龙游县横山镇天池等八村建设用地复垦项目,27:00.0,330825,,龙游县公共资源交易平台,,,龙游县公共资源交易中心市场配置监督管理办公室,,A3308250980,,
407,8d105368-c83a-44b6-a182-3f97fd80234c,浦江县郑宅镇卫生院迁建工程,A3307260820000838001001,42:24.0,浙江浦江众川建设有限公司,91330726MA2DB2L28Y,20092513,陈英雄,300,合格,浦江县郑宅镇卫生院迁建工程,42:07.0,330726,,金华市公共资源交易中心浦江县分中心,,,浦江县住房和城乡建设局,,A3307260820,,
408,8c7e2c9d-69a4-4c88-8fad-ae274ae881ac,未来之城西片城市综合提升工程——支二路（育才路至沙地王路）及运河路（育才路至沙地王路）工程,A3306030730001322001001,50:08.0,浙江远涛建设有限公司,91330681699518304P,20086030,杨莎莎,180,合格,未来之城西片城市综合提升工程——支二路（育才路至沙地王路）及运河路（育才路至沙地王路）工程,30:00.0,330603,下浮率,绍兴市柯桥区公共资源交易中心,,,绍兴市柯桥区公共资源交易管理委员会办公室,,A3306030730,,
409,f871739e-5165-4ddc-a4f0-ebe14a41d386,2021年越城区北海街道老旧小区改造项目（一期）-快阁苑小区EPC总承包项目,A3306021280000676001001,00:00.0,浙江省建工集团有限责任公司,9.133E+17,295396629.5,许国其,240,暂无,2021年越城区北海街道老旧小区改造项目（一期）-快阁苑小区EPC总承包项目,16:34.0,330601,,绍兴市越城区公共资源交易平台,,,绍兴市公共资源交易中心越城分中心,,A3306021280,,
410,8ee9c735-4ec0-46d8-aaab-d44be8ca2ee80000000000000000000000000000,"乐清市清江污水处理厂扩容及清洁排放技改工程（设备及安装工程）,",A3303820540001862001001,51:18.0,浙江正泰中自控制工程有限公司,9133000077938684X6,20089292,李志,180,1,乐清市清江污水处理厂扩容及清洁排放技改工程（设备及安装工程）,51:15.0,330382,,乐清市公共资源交易中心,,,乐清市建设工程招标投标管理站,,A3303820540,,
411,a3b5337b-2e90-4979-8057-98c02ed5570e,义乌市稠江街道崇山村旱改水项目（一期）,YW20200416002-F00100000,55:15.0,义乌市荣达市政工程有限公司,91330782739908957D,0,吴小丽,180,合格,义乌市稠江街道崇山村旱改水项目（一期）,55:15.0,330782,10.80%,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880,,
412,1.65517E+15,鄞州区10-01-06＃地块项目勘察设计,A3302120280991947001001,00:00.0,浙江高专建筑设计研究院有限公司,91330200254096081L,0,陈剑刚,70,按国家技术规范、标准及规程，达到勘察设计任务书要求的设计深度。,鄞州区10-01-06＃地块项目勘察设计,04:48.0,330212,-10.00%,鄞州区公共资源交易平台,,,宁波市鄞州区公共资源监督管理中心,,A3302120280,,
413,2930dc7a-be2b-4643-8756-53b043488f80,映荷公园（倒马子洋景观工程）-地下室及配套用房,A3301131280000159001001,00:00.0,浙江宏择建设工程有限公司,91330185143732604R,27945665,李炜,0,无,映荷公园（倒马子洋景观工程）-地下室及配套用房,57:28.0,330113,,杭州市公共资源交易中心临平分中心,,,杭州市建设工程招标造价服务中心,,A3301131280,,
414,1.59955E+15,象山县中心城区2020年度污水管道维修工程,A3302250290000564001001,00:00.0,宁波天弘建设有限公司,91330225MA2842RR8P,1727989,胡安伟,90,国家施工验收规范一次性验收合格,象山县中心城区2020年度污水管道维修工程,08:25.0,330225,,象山县公共资源交易平台,,,象山县公共资源交管办,,A3302250290,,
415,96029591-3e9c-469c-84d2-17c19b8006f5,义乌市城西街道物流仓储基地地质灾害生态修复综合治理,YW20211215001-S00100000,25:15.0,浙江振硕岩土工程有限公司,91330183589860985F,24542247,余桂发,655,符合国家现行施工验收规范合格标准,义乌市城西街道物流仓储基地地质灾害生态修复综合治理,25:15.0,330782,,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880,,
416,57405bc7-7421-422a-9aaa-703eb98d23b7,望海街道凤凰佳苑一期基础配套工程设计,A3304240590001519001001,48:20.0,桐乡市城乡规划设计院有限公司,9133048375493327X3,175000,吕海力,0,/,望海街道凤凰佳苑一期基础配套工程设计,48:20.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590,,
