,中标公告唯一标识,标段名称,标段编号,中标公告发布时间,中标单位,中标单位代码,中标价,项目负责人,工期,质量承诺,项目名称,中标时间,标段所在行政区域代码,费率或其它类型结果,交易平台名称,投诉情况,回复情况,行政监督机构名称,专家姓名,交易平台标识码
675,cc6e17a5-e253-40f0-b92e-c28df35413be0000000000000000000000000000,新昌县南星幼儿园新建工程—空调系统工程,A3205820001001029004001,2022-05-10 15:16:59.0,诸暨市滨江园林绿化有限公司,91330604704624970B,2342116,无,150,合格,新昌县南星幼儿园新建工程,2022-05-10 15:16:59.0,330624,,新昌县公共资源交易中心,,,绍兴市新昌县,,A3306240740
676,a7697836-fc64-4bc9-bede-e7f26c2bd759,S207秀洲至仙居公路三店塘互通及接线改建工程桩基试验检测,A3304010550002664001001,2022-10-09 15:07:06.0,浙江交科工程检测有限公司,913300007955753099,2005724,赵建铧,0,/,S207秀洲至仙居公路三店塘互通及接线改建工程桩基试验检测,2022-10-09 15:07:06.0,330401,,嘉兴市公共服务平台,,,嘉兴市交通运输局,,A3304010550
677,20210520090422237-20210508083148157,甬台温铁路温岭客运站站前规划路二期工程（牛桥段）监理,A3310811140001238001001,2021-05-20 12:47:06.0,台州金腾工程监理有限公司,913310810933045390,319847,王韶辉,0,合格,甬台温铁路温岭客运站站前规划路二期工程（牛桥段）监理,2021-05-20 12:47:06.0,331000,0.00,温岭市公共资源交易中心,,,温岭市公管委,,A3310811140
678,3dc1d436-e5d4-4077-9fc4-1192be761797,城区公园绿地海绵城市提升改造工程-芳草园、樱花园,YW20201231009-S00100000,2021-06-03 16:16:27.0,春晗环境建设股份有限公司,91330782717603511K,0,朱良丰,240,符合国家现行施工验收规范合格标准,城区公园绿地海绵城市提升改造工程-芳草园、樱花园,2021-06-03 16:16:27.0,330782,10.25%,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880
679,e8531f9d-a982-4efe-b371-4e28605044970000000000000000000000000000,第4施工标段,E3300000001000386006001,2020-03-30 00:00:00.0,北京深华科交通工程有限公司,911101066337645027,3272723,吕晶,60,无,228国道三门园里至宁海一市段公路工程,2020-03-30 15:15:18.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020
680,202b2c67-cce8-4a53-9a46-bf237312bcf4,滨海大道（千岛路—体育路）市民中心停车场工程二期—体育路西侧停车场,A3309011000000391001001,2022-07-26 14:09:09.0,浙江科润建设有限公司,91330902788804863F,1804331,胡祖槐,0,合格,滨海大道（千岛路—体育路）市民中心停车场工程二期—体育路西侧停车场,2022-07-26 14:09:09.0,330901,,舟山市公共资源交易中心,,,舟山市住房和城乡建设局,,A3309011000
683,179599,2021年市本级排水管网检测修复工程开挖修复工程施工,A3302010220000363001001,2022-03-04 14:30:02.0,宁波住宅建设集团股份有限公司,91330200144062059Q,6862806,-,0,-,2021年市本级排水管网检测修复工程开挖修复工程（施工）,2022-02-18 09:30:00.0,330201,,宁波市公共资源交易中心,,,市发展和改革委员会,,A3302010220
684,a712d329-9152-477c-9727-a13711dc3f94,佛堂镇日信区块集聚安置工程一标段,YW20201222001-S00100000,2021-06-03 16:19:05.0,中天建设集团有限公司,91330783147520019P,508797286,王勇,849,国家现行施工验收规范合格标准,佛堂镇日信区块集聚安置工程一标段,2021-06-03 16:19:05.0,330782,,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880
685,80c93f7f-45e5-430e-b3c9-4dc6b4df9ac7,平湖市林埭镇创业创新中心建设项目施工监理,A3304820630000493001001,2021-12-30 09:02:52.0,浙江大成工程项目管理有限公司,91330102717691662X,1431370,刘鹏,0,/,平湖市林埭镇创业创新中心建设项目施工监理,2021-12-30 09:02:52.0,330482,,平湖市公共服务平台,,,新点电子招投标监督平台,,A3304820630
686,8a0a69bc-f16a-407b-b752-511be765fa4d,龙游县灵山港幸福河湖建设（兰石段及干支流局部段提升工程）施工I标,A3308250001250010010000,2022-11-02 11:17:37.0,浙江艮威水利建设有限公司,91330206144300352M,18025807,娄利铨,0,符合现行工程施工质量验收规范和标准及施工图纸要求，一次性验收合格,龙游县灵山港幸福河湖建设（兰石段及干支流局部段提升工程）,2022-11-02 11:17:37.0,330825,,龙游县公共资源交易中心,,,龙游县公共资源交易监督管理办公室,,A3308250980
687,98c86139-719b-49bc-bc3d-f11b34efdb9d,舟山海洋产业集聚区钓梁经九路北段及纬七道中段工程—经九路北段工程,A3309011000000082001001,2021-11-01 09:52:28.0,诚通凯胜生态建设有限公司,91330206725146998R,35858554,宋志铭,0,合格,舟山海洋产业集聚区钓梁经九路北段及纬七道中段工程—经九路北段工程,2021-11-01 09:52:28.0,330901,,舟山市招投标中心,,,舟山市招投标中心,,A3309011000
688,3baec087-e7a4-431e-afaf-887192d452c3,廿里镇工业园区市政配套建设项目(二期)—道路白改黑工程（EPC),A3308030001310010010000,2022-11-22 15:49:57.0,衢州和正建设有限公司、华黔设计有限公司(联合体),91330802MA28F8CU3M,32371065,吴振江,0,无,廿里镇工业园区市政配套建设项目(二期)—道路白改黑工程（EPC),2022-11-22 15:49:57.0,330803,,衢江区公共资源交易中心,,,衢州市衢江区公共资源交易监督管理办公室,,A3308030930
689,1637043465092000,龙游县湖镇镇希塘村方家垦造耕地项目2021,A3308250980002893001001,2021-11-16 00:00:00.0,衢州锦华环境建设有限公司,91330825MA2DH839X7,5977555,翁立珍,45,一次性验收合格，并通过省级验收。,龙游县湖镇镇希塘村方家垦造耕地项目2021,2021-11-16 14:33:58.0,330825,,龙游县公共资源交易平台,,,1441846024373009,,A3308250980
690,9d6362b1-28cc-47e2-9b1a-76ac9ef5aafd,章镇镇后畈山塘整治工程,A3306820700002413001001,2020-04-07 14:47:03.0,绍兴鸿雄建设工程有限公司,91510100MA6CR80D4T,1170387,何方龙,0,合格,章镇镇后畈山塘整治工程,2020-04-07 14:47:03.0,330682,,绍兴市上虞区公共资源交易中心,,,绍兴市上虞区便民服务中心(招标投标监督办公室),,A3306040760
691,D33100220210309145118162,台州市商贸核心区北区基础设施项目（一期）之心海社区小学建设工程（招标代理比选）,E3310011234001388001001,2021-03-10 15:50:37.0,浙江建航工程咨询有限公司,91331102148868666F,0,王华萍,0,合格,台州市商贸核心区北区基础设施项目（一期）之心海社区小学建设工程,2021-03-04 16:17:44.0,331001,48.96%,台州市公共资源交易中心,,,台州市建设工程招标投标管理办公室,,A3310011060
692,20220129082137551-20220124145355010,仙居县永安溪下各段美丽河湖建设工程-彭溪东路东段工程,A3310241130000802001001,2022-01-29 11:32:01.0,浙江环宇建设集团有限公司,91330602712526377K,9334090,金周荣,0,合格,仙居县永安溪下各段美丽河湖建设工程-彭溪东路东段工程,2022-01-29 11:32:01.0,331000,0.000,仙居县公共资源交易中心,,,仙居县公管办,,A3310241130
693,185085,宁波至慈溪市域（郊）铁路工程轨道系统设计SJCX09标段,A3302010220000516001001,2022-07-15 09:44:01.0,"中铁工程设计咨询集团有限公司,中铁工程设计咨询集团有限公司,浙江华展工程研究设计院有限公司",91110000764205727U,15070000,-,0,-,宁波至慈溪市域（郊）铁路工程轨道系统设计SJCX09标段,2022-07-06 16:00:00.0,330201,,宁波市公共资源交易中心,,,市发展和改革委员会,,A3302010220
694,20210126102448963-20210108162015690,第1标段,E3302060053001381001001,2021-01-26 10:25:00.0,浙江立欣交通工程有限公司,913310226831102750,2482118,朱开兴,0,合格,招宝山大桥收费广场改造工程,2021-01-26 10:25:00.0,330200,0.00,北仑区公共资源交易中心,,,北仑区（开发区）行政审批管理办公室,,A3302060260
695,1387134a-b390-4045-9bf6-0d8eb736cb04,2022年县管公路改造提升工程设计,A3304240590002291001001,2022-01-20 16:43:52.0,中交通力建设股份有限公司,91610131724928787L,926100,蒋云昕,0,/,2022年县管公路改造提升工程设计,2022-01-20 16:43:52.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590
696,bb6c2bd8-cdfe-428e-9261-a8842a378a680000000000000000000000000000,房建施工第1标段,E3300000001000653014001,2020-07-30 00:00:00.0,浙江镜湖建设集团有限公司,9133062175302973X2,79171281,焦志峰,640,无,G60沪昆高速公路金华互通至浙赣界段改扩建工程,2020-07-30 13:42:51.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020
697,6d79aac1-cd0e-48b4-847a-5cd5843654370000000000000000000000000000,施工,Y3300000007000034018001,2020-08-17 00:00:00.0,浙江顺畅高等级公路养护有限公司,91330108754435270P,5680964,朱稠丹,30,无,(非重点)嘉兴至绍兴跨江公路通道嘉绍大桥,2020-08-27 09:00:10.0,330000,,浙江省公共资源交易中心,,,绍兴市交通运输局,,A3300000020
698,2295fbca-d949-4c7e-aae7-61a592e6540e,一环至二环主次干道综合改造提升工程施工阶段全过程工程造价控制咨询服务（一标段）,A3304010550001352001001,2021-03-09 09:38:52.0,嘉兴市中诚建设投资咨询有限公司,91330402721028505L,1722420,陈涛,0,/,一环至二环主次干道综合改造提升工程施工阶段全过程工程造价控制咨询服务,2021-03-09 09:38:52.0,330402,,嘉兴市公共服务平台,,,新点电子招投标监督平台,,A3304010550
699,107b3ea6-13a9-4272-8fdb-0c26862bc5290000000000000000000000000000,接收站工程中心化验室仪器设备,E3300000007000067044001,2022-05-25 00:00:00.0,杭州坤鼎能源科技有限公司,91330110MA27X1YA8F,4203000,无,90,无,温州液化天然气（LNG）项目,2022-05-25 13:09:39.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020
700,36886,温州江心屿改造提升工程（东园二期）夜游亮化改造提升EPC项目,A3303020420002728728001,2021-01-05 14:32:14.0,良业科技集团股份有限公司,911103025636138049,11388535.81,于洪玉,100,合格,温州江心屿改造提升工程（东园二期）夜游亮化改造提升EPC项目,2021-01-05 14:32:31.0,330302,,温州市行政审批与公共资源交易管理服务中心鹿城分中心,,,温州市鹿城区建设工程招标投标管理站,,A3303020420
701,1598839781341002,鄞州区生活小区“污水零直排”改造工程(一期)Ⅱ标段,A3302120280001478001001,2020-08-31 00:00:00.0,九峰海洋生态建设集团有限公司,913302067782048219,41274528,龚旭,120,按国家施工验收规范一次性验收合格标准,鄞州区生活小区“污水零直排”改造工程(一期)Ⅱ标段,2020-08-31 14:23:18.0,330212,,鄞州区公共资源交易平台,,,宁波市鄞州区公共资源监督管理中心,,A3302120280
702,039ee7c8-20d9-4306-8bc7-73713c0a73d3,驿亭镇五夫集镇片市场及店铺污水纳管工程,A3306820700001899001001,2019-06-19 10:15:35.0,绍兴市恒泰环境建设有限公司,913306046899849263,1021000,夏平儿,0,合格,驿亭镇五夫集镇片市场及店铺污水纳管工程,2019-06-19 10:15:35.0,330682,,绍兴市上虞区公共资源交易中心,,,绍兴市上虞区便民服务中心(招标投标监督办公室),,A3306040760
703,f2936bbf-2389-4b60-af75-8811204fddf9,浙江台城科技发展有限公司创新中心装饰装修项目,A3301100140502504001291,2022-09-01 09:00:00.0,浙江光大装饰工程有限公司,913300007943647020,16832120,徐焕龙,0,无,浙江台城科技发展有限公司创新中心装饰装修项目,2022-08-19 19:21:51.0,330110,,杭州市公共资源交易中心余杭分中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
704,e4caa63a-3b82-456b-87de-c1cea4a4257e,瓶窑镇长命小学异地新建工程监理,A3301100140000105001001,2020-05-06 09:00:00.0,南越建设管理有限公司,91330110799679869Q,1529800,杨克顺,0,无,瓶窑镇长命小学异地新建工程监理,2020-04-13 16:32:53.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
705,8863615,监理,A3302321320000120001001,2022-03-10 16:20:00.0,浙江联达工程项目管理有限公司,91330201759092342X,1157287.11,许老师,0,同施工要求,宁波杭州湾新区明日中国游学基地建设项目（监理）,2021-12-20 13:00:00.0,330232,,杭州湾公共资源交易中心,,,杭州湾新区公共资源交管办,,A3302321320
706,fd03134d-623e-4b13-948a-0bece60054880000000000000000000000000000,平阳县美丽经济交通走廊创建水头-闹村“黄汤飘香”示范带（二期）及显腾线（显桥至西岙）道路提升工程,JT330326210107002140000,2021-02-07 14:53:10.0,温州众亿交通工程有限公司,91510106MA6C7P5D3U,8425123,应璐言,180,合格,平阳县美丽经济交通走廊创建水头-闹村“黄汤飘香”示范带（二期）及显腾线（显桥至西岙）道路提升工程,2021-02-07 14:52:48.0,330326,,平阳县公共资源交易中心,,,平阳县交通局,,A3303260470
707,15b50360-3f18-4b04-8f26-6d82ec81e41e,灵峰智慧绿谷产业平台基础配套设施工程之平台启动区环线道路新建工程,A3305230700002096001001,2022-04-27 08:20:49.0,浙江天力建设集团有限公司,9133050070445369X2,12859126,彭国聪,0,合格,灵峰智慧绿谷产业平台基础配套设施工程之平台启动区环线道路新建工程,2022-04-27 08:20:49.0,330523,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700
708,D33100120210818150410718,台州市域铁路S1线一期工程风冷变频多联机空调&变频分体空调、水冷多联机设备采购项目（标包1）,A3310011060001707001001,2021-09-08 09:58:19.0,浙江华丞机电工程有限公司,91330205MA2AJ91JXE,15610868,胡敏,240,满足招标文件要求,台州市域铁路S1线一期工程,2021-08-05 15:45:02.0,331001,,台州市公共资源交易中心,,,台州市发展和改革委员会,,A3310011060
709,24c0909b-b708-4a82-bf25-ceb20e904ef1,凤桥镇兴善寺港、陆家浜等八条河道综合整治工程（二标段）,A3304010550000862001002,2020-07-06 14:54:39.0,嘉兴锐欣建设工程有限公司,91330401799644340H,3914885,周海祥,0,/,凤桥镇兴善寺港、陆家浜等八条河道综合整治工程（一、二标段）,2020-07-06 14:54:39.0,330402,,嘉兴市公共服务平台,,,新点电子招投标监督平台,,A3304010550
710,D33100320201111145721530,黄岩区新江路（拱新大道至锦川路）工程（招标代理比选）,E3310011234001195001001,2020-11-12 14:41:37.0,浙江建通工程建设管理有限公司,91331003749026157N,48.48,王晓红,365,合格,黄岩区新江路（拱新大道至锦川路）工程（招标代理比选）,2020-11-06 14:52:53.0,331001,48.48,台州市公共资源交易中心,,,黄岩区建设工程招标投标管理办公室,,A3310011060
711,49590,（不见面）（20-0290）婺城区生态安葬点建设项目—琅琊镇琅琊徐骨灰堂,A3307020790001958958228,2021-01-05 10:17:12.0,筑邦建设集团股份有限公司,91330727673891821M,9087528,翁妤,270,不低于国家相关验收的合格标准,（不见面）（20-0290）婺城区生态安葬点建设项目—琅琊镇琅琊徐骨灰堂,2021-01-05 09:00:00.0,330702,,婺城区公共资源交易中心,,,金华市婺城区住房和城乡建设局,,A3307020790
712,3cea4697-d73a-4081-819b-09488e4166d9,兴起路(五洲路-昌达路）整治提升工程,A3301100140000259001001,2020-06-28 09:00:00.0,杭州创泰建筑工程有限公司,91330110782381599K,9428700,王矫明,0,无,兴起路(五洲路-昌达路）整治提升工程,2020-06-19 14:38:53.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
713,c7dbfbc7-2f10-4a6d-8c1a-c02e29292031,杭垓镇松坑村美丽宜居示范村建设项目,A3305230700001436001001,2021-09-08 13:50:55.0,安吉盛业建设有限公司,91330523MA28CGDY8E,799478,周丽萍,0,合格,杭垓镇松坑村美丽宜居示范村建设项目,2021-09-08 13:50:55.0,330529,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700
714,1604827593331001,和顺家园非机动车坡道玻璃顶棚改造工程,A3302120280991438001001,2020-11-09 00:00:00.0,宁波臣威建设有限公司,91330201587498556F,3143000,毕鹏清,75,按国家施工验收规范一次性验收合格标准,和顺家园非机动车坡道玻璃顶棚改造工程,2020-11-09 09:02:50.0,330212,,鄞州区公共资源交易平台,,,宁波市鄞州区公共资源监督管理中心,,A3302120280
715,aa476689-e002-4499-becb-7fdff3dee16b,衢州市柯城区示范型居家养老服务项目—华墅乡刘坂村居家养老服务中心拆建工程,H2021112400070010010000,2021-12-24 11:10:01.0,浙江宏硕建设有限公司,91330881MA2DJR8M0U,6647492,詹春华,180,无,衢州市柯城区示范型居家养老服务项目—华墅乡刘坂村居家养老服务中心拆建工程,2021-12-24 11:10:01.0,330802,,汇联易招,,,衢州市柯城区公共资源交易监管管理办公室,,A3308020920
716,1608617261978001,春生路（崇文路至锦霞路）道路新建工程,E3302810067001816001001,2020-12-23 00:00:00.0,宁波颢润生态建设有限公司,91330281681082303A,11990000,谢新建,300,符合现行国家质量验收评定标准,春生路（崇文路至锦霞路）道路新建工程,2020-12-22 14:07:42.0,330281,,余姚市公共资源交易平台,,,余姚市公共资源交易管理办公室,,A3302810380
717,c9333065-4e59-44f3-bd69-fb4aaed8a241,绍兴市殡仪馆升级改造工程施工阶段全过程跟踪审计项目,A3306010720001788001001,2022-08-24 11:08:18.0,浙江耀信工程咨询有限公司,91330000720083166R,390682,周雪娇,0,暂无,绍兴市殡仪馆升级改造工程施工阶段全过程跟踪审计项目,2022-08-24 11:08:18.0,330665,,绍兴市公共资源交易平台,,,绍兴政务服务办公室,,A3306010720
718,1662367907272003,古塘街道社区卫生服务中心改建项目,A3302820280000029001171,2022-10-17 00:00:00.0,宁波联兴市政园林工程有限公司,91330205MA2CJ0BG62,24872054,魏雪虎,0,合格,古塘街道社区卫生服务中心改建项目,2022-10-17 15:02:49.0,330282,,慈溪市公共资源交易平台,,,慈溪市公共资源交易管理办公室,,A3302820390
720,ad558e39-6d81-4251-b236-4f9b50cccec40000000000000000000000000000,湖州市中心城区污水零直排管道CCTV检测及疏通项目 （XII标段）,HZ20200527009-120000000,2020-07-10 17:04:42.0,浙江易承环境建设有限公司,91330212554513174A,4313026,郑基伟,0,无,湖州市中心城区污水零直排管道CCTV检测及疏通项目,2020-07-10 17:04:38.0,330501,1,湖州市公共资源交易中心,,,湖州市公共资源交易中心,,A3305010650
721,9a085f62-2982-45e1-9445-5e7dc7dca05e,上仓路（水乡北路南—文二西路）工程监理,A3301100140000170001001,2020-05-25 09:00:00.0,政通建设管理有限公司,91330110762039446N,489242,刘慧,0,无,上仓路（水乡北路南—文二西路）工程监理,2020-04-30 13:44:57.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
722,166923,宁波市新周污水处理厂二期工程土建施工,E3302010000005964001001,2020-12-24 15:47:31.0,华锦建设集团股份有限公司,913302001450047824,295467999,-,0,按国家施工验收规范一次性验收合格，确保甬江杯，争创钱江杯。,宁波市新周污水处理厂二期工程土建施工,2020-12-11 08:00:00.0,330201,,宁波市公共资源交易中心,,,市发展和改革委员会,,A3302010220
723,28176,永康市殡仪馆迁建工程（一期）监理,A3307840900000045001001,2021-10-14 17:32:26.0,浙江中环建设监理有限公司,913307012549751826,1492718,吴一帆,940,不低于国家相关验收合格标准,永康市殡仪馆迁建工程（一期）监理,2021-10-08 17:00:00.0,330702,,永康市公共资源交易中心,,,永康市住房与城乡建设局,,A3307840900
724,48802,（不见面）（20-0222）婺城区莘畈乡祝村莘畈铁塔产业园建设工程,A3307020790001840840090,2020-10-12 11:02:16.0,浙江中锐建设工程有限公司,91330702MA2DFHWN21,3585313,陈叶青,240,合格,（不见面）（20-0222）婺城区莘畈乡祝村莘畈铁塔产业园建设工程,2020-10-12 10:00:00.0,330702,,婺城区公共资源交易中心,,,金华市婺城区住房和城乡建设局,,A3307020790
725,4b4e9a79-c53a-4190-9103-4095aee5a74f,余杭街道金星农民高层公寓一期公共部位装修工程,A3301100140300015001001,2020-07-29 09:00:00.0,浙江贝力装饰工程有限公司,91330110552685271F,11857683,章昂信,0,无,余杭街道金星农民高层公寓一期公共部位装修工程,2020-07-02 16:06:46.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
726,9c094b09-86c2-4af6-af58-bdb9f62ab23f,安吉县余村赵家堂西侧道路工程,A3305230700000508001001,2020-10-28 14:26:06.0,安吉绿泽市政园林工程有限公司,91330523MA28CHEB9T,297616,藏莉,0,合格,安吉县余村赵家堂西侧道路工程,2020-10-28 14:26:06.0,330535,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700
727,ea6f7731-37b1-4bda-9281-5db679fa6a3c,于城镇庄家村社区综合用房建设项目,A3304240590000974001001,2020-10-16 14:30:27.0,嘉兴通圆建设工程有限公司,91330424MA2BC5WX3L,2858960,李静,0,/,于城镇庄家村社区综合用房建设项目,2020-10-16 14:30:27.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590
728,9a7a3345-e626-4dc9-8d8f-c16b87b21fca0000000000000000000000000000,平阳县万全镇郑楼片区截污纳管工程,SZ330326200917002140000,2020-11-10 09:19:14.0,福建其业建设工程有限公司,913501220816300702,20911186,无,210,合格,平阳县万全镇郑楼片区截污纳管工程,2020-11-10 09:19:06.0,330326,,平阳县公共资源交易中心,,,平阳县公共资源交易中心管理委员会办公室,,A3303260470
730,D33100320210630160330921,黄岩城投集团办公大楼改造装饰工程（监理）,E3310011234001622001001,2021-07-14 16:06:14.0,正博工程管理有限公司,913301096739926819,468763,丁小清,270,合格,黄岩城投集团办公大楼改造装饰工程（监理）,2021-06-30 15:22:27.0,331001,,台州市公共资源交易中心,,,台州市黄岩区建设工程招投标管理办公室,,A3310011060
731,46D718CA-4495-49AA-9AC0-A1C3E096762C,之江度假区单元XH1711-R21-06A地块拆迁安置房项目-室外景观绿化工程,A3301060110400010001281,2022-10-25 00:00:00.0,浙江南山环境建设有限公司,9133010275170130XA,14675902,,0,无,之江度假区单元XH1711-R21-06A地块拆迁安置房项目-室外景观绿化工程,2022-09-16 16:06:52.0,330106,,杭州市公共资源交易中心西湖分中心,,,杭州市西湖区住房和城乡建设局,,A3301060110
732,180836ef-4866-4f48-9a2d-c6a816ec7156,山一柴家坞提升改造工程,A3301080120300334001001,2021-12-27 09:00:00.0,江苏鹏达建设集团有限公司,91320803667637771U,15789028,吴滨,0,无,山一柴家坞提升改造工程,2021-12-20 16:45:12.0,330108,,杭州市公共资源交易中心滨江分中心,,,杭州高新技术产业开发区（滨江）建设工程招投标管理办公室,,A3301080120
733,af7bb8d6-d5bd-495c-8d68-341f707dd95e0000000000000000000000000000,第GZSJ-02标段,Y3300000007000424002002,2021-02-20 00:00:00.0,浙江科信联合工程项目管理咨询有限公司,91330201756269827M,4629950,周永华,2008,无,(非重点)湖杭高速公路吴兴至德清段工程,2021-02-20 08:20:24.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020
734,dc7b8cd9-2d2a-4f76-ac36-68891c0f524a0000000000000000000000000000,湖州南太湖新区城市建设发展中心康山分区北单元KS-01-02-19F-1地块道路建设工程,HZ20220722003-100000000,2022-10-10 09:32:05.0,浙江乔兴建设集团有限公司,91330500146982764L,11816666,王建,0,无,湖州南太湖新区城市建设发展中心康山分区北单元KS-01-02-19F-1地块道路建设工程,2022-10-10 17:13:54.0,330507,1,湖州市公共资源交易中心湖州南太湖新区分中心,,,湖州南太湖新区政务服务中心,,A3305300710
735,168827.0,宁波大学北校区学生公寓3#、4#楼装修工程（施工）,P3302010000006172001001,2021-03-23 06:58:30.0,宁波浩凡建设有限公司,91330211MA2CJH9090,16872586,高老师,0,按国家施工验收规范一次性验收合格,宁波大学北校区学生公寓3#、4#楼装修工程（施工）,2021-03-15 08:00:00.0,330201,,宁波市公共资源交易中心,,,市住房和城乡建设委员会,,
736,20211109144421498-20211020231630220,2021年临海市古城街道等5个镇街土地整治技术服务项目,A3310821150002406001001,2021-11-10 09:10:33.0,临海市正大土地规划设计有限公司,91331082739904016E,850500,邵全华,0,符合国家相关标准,2021年临海市古城街道等5个镇街土地整治技术服务项目,2021-11-09 16:55:56.0,331000,0.0000,临海市公共资源交易中心,,,临海市公共资源交易管理办公室,,A3310821150
737,086c7729-7b36-4680-b801-89720c638f69,崇贤新城崇超路以东区域环境综合整治项目一期监理,A3301131280900019001251,2022-06-22 00:00:00.0,杭州庆达工程监理咨询有限公司,9133010977080438XX,1046800,陈兴平,0,合格,崇贤新城崇超路以东区域环境综合整治项目一期监理,2022-06-15 15:57:51.0,330113,,杭州市公共资源交易中心临平分中心,,,杭州市临平区林业水利局,,A3301131280
738,0c20648c-4744-4bb1-bb14-84978b5993d8,义乌市上溪镇黄山一村至周村农村公路边坡治理工程,SX20200731001-S00100000,2020-08-28 11:16:39.0,丽水市嘉胜交通建设有限公司,91331122MA2A1XWE3T,0,罗志平,60,达到国家现行施工验收规范合格标准,义乌市上溪镇黄山一村至周村农村公路边坡治理工程,2020-08-28 11:16:39.0,330782,8.95%,义乌市公共资源交易中心,,,义乌市·上溪镇,,A3307820880
739,2c26c0f4-b810-4ce2-b94a-20341b9ee885,,PA201900310010010000000,2019-07-16 18:50:15.0,浙江万事达建设工程管理有限公司,91330900148696614P,5740000,,0,,,2019-07-16 18:50:15.0,330903,,舟山市普陀区审批服务与招投标管理办公室,,,,,
740,90bb51a6-dcea-4d6e-b6e5-09a2dd79605e,安吉县溪龙乡“白茶小镇”集镇石家村区块污水处理项目工程总承包(EPC),A3205820001000094001001,2019-11-25 08:48:50.0,浙江安吉晟辉建设有限公司,91330523693629927C,4798000,饶如山,0,合格,溪龙乡“白茶小镇”集镇石家村区块污水处理工程,2019-11-25 08:48:50.0,330523,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700
741,ca29b285-4403-46f8-8793-06743b0010220000000000000000000000000000,龙港市交通发展有限公司人民路停车场3000kVA配电工程,A3303831280000283001001,2021-12-07 11:14:43.0,浙江九宏电力工程有限公司,91330327678417985B,1564123,毛显吉,60,1,龙港市交通发展有限公司人民路停车场3000kVA配电工程,2021-12-07 11:14:51.0,330399,,龙港市公共资源交易中心,,,龙港市自然资源与规划建设局;,,A3303831280
742,efefdd46-91f7-4590-a853-a4f00a7f3ed7,城中北路（宾王路-银海路）道路改造工程—（洪溪-银海路）段,YW20191206003-S00100000,2020-04-17 17:24:46.0,浙江汇洋建设工程有限公司,91330782742936019U,0,叶严令,210,合格,城中北路（宾王路-银海路）道路改造工程—（洪溪-银海路）段,2020-04-17 17:24:46.0,330782,9.55%,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880
743,46233179-d712-4597-9df3-f7413a0e6697,善东苑公寓房项目桩基检测,A3304210580000532001001,2021-09-01 18:38:31.0,浙江煤炭测绘院有限公司,91330000143802668E,1092738,/,0,/,善东苑公寓房项目桩基检测,2021-09-01 18:38:31.0,330421,,嘉善县公共服务平台,,,新点电子招投标监督平台,,A3304210580
744,D33052120220308132815838,德清县阜溪中小学工程代管项目,A3305210680110129001001,2022-03-08 13:44:00.0,德清县恒达建设发展有限公司,91330521797602649Q,4500000,徐志超,810,合格,德清县阜溪中小学工程,2022-03-08 00:00:00.0,331001,,德清县公共资源交易中心,,,公共资源交易管理办公室,,A3305210680
745,284b4531-95c2-433f-bf04-71a0651d3128,遂昌县梅溪路提升改造工程,A3311011160011309001001,2022-07-19 15:06:47.0,浙江广盛环境建设集团有限公司,913309027743766341,7756623,曾思杰,0,合格,遂昌县梅溪路提升改造工程,2022-07-19 15:06:47.0,331123,,遂昌县公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311231200
746,9f216fac-4b69-4cac-9db4-0f4c97a83dee,魏塘街道社区综合服务中心项目,A3304210580000788001001,2022-04-13 16:05:03.0,正岩建设集团有限公司,91410100721872562K,36336448,古建华,0,/,魏塘街道社区综合服务中心项目,2022-04-13 16:05:03.0,330421,,嘉善县公共服务平台,,,新点电子招投标监督平台,,A3304210580
